date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,cnt_confirmed,cnt_deaths,cnt_recovered
2021-11-10,US,01,01,AL,837428,15917,0
2021-11-10,US,02,02,AK,144300,831,0
2021-11-10,US,04,04,AZ,1198277,21525,0
2021-11-10,US,05,05,AR,517675,8525,0
2021-11-10,US,06,06,CA,4985297,72857,0
2021-11-10,US,08,08,CO,774997,8551,0
2021-11-10,US,09,09,CT,406752,8809,0
2021-11-10,US,10,10,DE,146484,2125,0
2021-11-10,US,11,11,DC,65159,1193,0
2021-11-10,US,12,12,FL,3701310,60418,0
2021-11-10,US,13,13,GA,1644997,29749,0
2021-11-10,US,15,15,HI,85360,968,0
2021-11-10,US,16,16,ID,298634,3703,0
2021-11-10,US,17,17,IL,1727634,28461,0
2021-11-10,US,18,18,IN,1039918,16995,0
2021-11-10,US,19,19,IA,499279,7166,0
2021-11-10,US,20,20,KS,445858,6614,0
2021-11-10,US,21,21,KY,757016,10104,0
2021-11-10,US,22,22,LA,763628,14662,0
2021-11-10,US,23,23,ME,109592,1217,0
2021-11-10,US,24,24,MD,567929,11014,0
2021-11-10,US,25,25,MA,869293,19138,0
2021-11-10,US,26,26,MI,1329089,24217,0
2021-11-10,US,27,27,MN,831669,9049,0
2021-11-10,US,28,28,MS,507775,10182,0
2021-11-10,US,29,29,MO,871631,12826,0
2021-11-10,US,30,30,MT,183213,2451,0
2021-11-10,US,31,31,NE,292990,3042,0
2021-11-10,US,32,32,NV,446461,7796,0
2021-11-10,US,33,33,NH,142469,1617,0
2021-11-10,US,34,34,NJ,1211423,28134,0
2021-11-10,US,35,35,NM,288557,5148,0
2021-11-10,US,36,36,NY,2603833,56828,0
2021-11-10,US,37,37,NC,1497677,18371,0
2021-11-10,US,38,38,ND,153425,1838,0
2021-11-10,US,39,39,OH,1585798,25282,0
2021-11-10,US,40,40,OK,650689,10879,0
2021-11-10,US,41,41,OR,376372,4730,0
2021-11-10,US,42,42,PA,1608022,32188,0
2021-11-10,US,44,44,RI,182486,2887,0
2021-11-10,US,45,45,SC,905182,13923,0
2021-11-10,US,46,46,SD,158822,2277,0
2021-11-10,US,47,47,TN,1292195,16622,0
2021-11-10,US,48,48,TX,4273003,72130,0
2021-11-10,US,49,49,UT,567665,3325,0
2021-11-10,US,50,50,VT,42910,388,0
2021-11-10,US,51,51,VA,939783,14261,0
2021-11-10,US,53,53,WA,746354,8857,0
2021-11-10,US,54,54,WV,279694,4592,0
2021-11-10,US,55,55,WI,913237,9641,0
2021-11-10,US,56,56,WY,106698,1298,0
2021-11-10,US,60,60,AS,4,0,0
2021-11-10,US,66,66,GU,18840,258,0
2021-11-10,US,69,69,MP,342,3,0
2021-11-10,US,72,72,PR,186425,3247,0
2021-11-10,US,78,78,VI,7329,84,0
2021-11-10,US,DP,,,49,0,0
2021-11-10,US,GP,,,103,3,0
2021-11-10,US,RC,,,0,0,0
