date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,cnt_confirmed,cnt_deaths,cnt_recovered
2022-12-06,US,01,01,AL,1549285,20652,0
2022-12-06,US,02,02,AK,300365,1436,0
2022-12-06,US,04,04,AZ,2337547,31751,0
2022-12-06,US,05,05,AR,971876,12594,0
2022-12-06,US,06,06,CA,11556860,97655,0
2022-12-06,US,08,08,CO,1714678,13668,0
2022-12-06,US,09,09,CT,930723,11602,0
2022-12-06,US,10,10,DE,317979,3172,0
2022-12-06,US,11,11,DC,171608,1407,0
2022-12-06,US,12,12,FL,7270410,83201,0
2022-12-06,US,13,13,GA,2943519,41070,0
2022-12-06,US,15,15,HI,367352,1737,0
2022-12-06,US,16,16,ID,506232,5268,0
2022-12-06,US,17,17,IL,3895981,40372,0
2022-12-06,US,18,18,IN,1965757,25164,0
2022-12-06,US,19,19,IA,873597,10294,0
2022-12-06,US,20,20,KS,902118,9679,0
2022-12-06,US,21,21,KY,1640761,17530,0
2022-12-06,US,22,22,LA,1473092,18274,0
2022-12-06,US,23,23,ME,302399,2740,0
2022-12-06,US,24,24,MD,1294038,15775,0
2022-12-06,US,25,25,MA,2115549,22488,0
2022-12-06,US,26,26,MI,2950361,40327,0
2022-12-06,US,27,27,MN,1713190,14094,0
2022-12-06,US,28,28,MS,943402,13051,0
2022-12-06,US,29,29,MO,1708324,22092,0
2022-12-06,US,30,30,MT,319023,3600,0
2022-12-06,US,31,31,NE,543135,4663,0
2022-12-06,US,32,32,NV,864406,11630,0
2022-12-06,US,33,33,NH,362382,2827,0
2022-12-06,US,34,34,NJ,2861857,35186,0
2022-12-06,US,35,35,NM,650143,8708,0
2022-12-06,US,36,36,NY,6419361,74166,0
2022-12-06,US,37,37,NC,3275343,27371,0
2022-12-06,US,38,38,ND,277366,2232,0
2022-12-06,US,39,39,OH,3243850,40558,0
2022-12-06,US,40,40,OK,1225997,17271,0
2022-12-06,US,41,41,OR,924632,8864,0
2022-12-06,US,42,42,PA,3361643,48387,0
2022-12-06,US,44,44,RI,437972,3746,0
2022-12-06,US,45,45,SC,1745168,18758,0
2022-12-06,US,46,46,SD,268797,3099,0
2022-12-06,US,47,47,TN,2389250,28305,0
2022-12-06,US,48,48,TX,8107195,91428,0
2022-12-06,US,49,49,UT,1063268,5127,0
2022-12-06,US,50,50,VT,146777,770,0
2022-12-06,US,51,51,VA,2157930,22488,0
2022-12-06,US,53,53,WA,1859858,14705,0
2022-12-06,US,54,54,WV,616175,7631,0
2022-12-06,US,55,55,WI,1933185,15654,0
2022-12-06,US,56,56,WY,181695,1938,0
2022-12-06,US,60,60,AS,8264,34,0
2022-12-06,US,66,66,GU,59460,409,0
2022-12-06,US,69,69,MP,13212,41,0
2022-12-06,US,72,72,PR,1019903,5407,0
2022-12-06,US,78,78,VI,23594,125,0
2022-12-06,US,DP,,,49,0,0
2022-12-06,US,GP,,,103,3,0
2022-12-06,US,RC,,,0,0,0
