date_stamp,us_county_fips,cnt_confirmed_new,cnt_confirmed,cnt_tested_new,cnt_tested
2020-03-02,36123,0,0,0,0
2020-03-02,36055,0,0,0,0
2020-03-02,36053,0,0,0,0
2020-03-02,36051,0,0,0,0
2020-03-02,36049,0,0,0,0
2020-03-02,36047,0,0,0,0
2020-03-02,36045,0,0,0,0
2020-03-02,36043,0,0,0,0
2020-03-02,36041,0,0,0,0
2020-03-02,36039,0,0,0,0
2020-03-02,36037,0,0,0,0
2020-03-02,36035,0,0,0,0
2020-03-02,36033,0,0,0,0
2020-03-02,36031,0,0,0,0
2020-03-02,36057,0,0,0,0
2020-03-02,36029,0,0,0,0
2020-03-02,36025,0,0,0,0
2020-03-02,36023,0,0,0,0
2020-03-02,36021,0,0,0,0
2020-03-02,36019,0,0,0,0
2020-03-02,36017,0,0,0,0
2020-03-02,36015,0,0,0,0
2020-03-02,36013,0,0,0,0
2020-03-02,36011,0,0,0,0
2020-03-02,36009,0,0,0,0
2020-03-02,36007,0,0,0,0
2020-03-02,36005,0,0,0,0
2020-03-02,36003,0,0,0,0
2020-03-02,36001,0,0,0,0
2020-03-02,36027,0,0,0,0
2020-03-02,36059,0,0,0,0
2020-03-02,36121,0,0,0,0
2020-03-02,36063,0,0,0,0
2020-03-02,36119,1,1,1,1
2020-03-02,36117,0,0,0,0
2020-03-02,36115,0,0,0,0
2020-03-02,36113,0,0,0,0
2020-03-02,36111,0,0,0,0
2020-03-02,36109,0,0,0,0
2020-03-02,36107,0,0,0,0
2020-03-02,36105,0,0,0,0
2020-03-02,36103,0,0,0,0
2020-03-02,36101,0,0,0,0
2020-03-02,36089,0,0,0,0
2020-03-02,36099,0,0,0,0
2020-03-02,36097,0,0,0,0
2020-03-02,36095,0,0,0,0
2020-03-02,36061,0,0,0,0
2020-03-02,36091,0,0,0,0
2020-03-02,36065,0,0,0,0
2020-03-02,36067,0,0,0,0
2020-03-02,36069,0,0,0,0
2020-03-02,36071,0,0,0,0
2020-03-02,36073,0,0,0,0
2020-03-02,36075,0,0,0,0
2020-03-02,36093,0,0,0,0
2020-03-02,36079,0,0,0,0
2020-03-02,36081,0,0,0,0
2020-03-02,36083,0,0,0,0
2020-03-02,36085,0,0,0,0
2020-03-02,36087,0,0,0,0
2020-03-02,36077,0,0,0,0
2020-03-03,36033,0,0,0,0
2020-03-03,36035,0,0,0,0
2020-03-03,36037,0,0,0,0
2020-03-03,36039,0,0,0,0
2020-03-03,36041,0,0,0,0
2020-03-03,36043,0,0,0,0
2020-03-03,36051,0,0,0,0
2020-03-03,36049,0,0,0,0
2020-03-03,36053,0,0,0,0
2020-03-03,36055,0,0,0,0
2020-03-03,36057,0,0,0,0
2020-03-03,36031,0,0,0,0
2020-03-03,36047,0,0,2,2
2020-03-03,36029,0,0,0,0
2020-03-03,36015,0,0,0,0
2020-03-03,36025,0,0,0,0
2020-03-03,36023,0,0,0,0
2020-03-03,36021,0,0,0,0
2020-03-03,36019,0,0,0,0
2020-03-03,36017,0,0,0,0
2020-03-03,36059,0,0,0,0
2020-03-03,36013,0,0,0,0
2020-03-03,36011,0,0,0,0
2020-03-03,36009,0,0,0,0
2020-03-03,36007,0,0,0,0
2020-03-03,36005,0,0,1,1
2020-03-03,36003,0,0,0,0
2020-03-03,36001,0,0,0,0
2020-03-03,36027,0,0,0,0
2020-03-03,36061,0,0,3,3
2020-03-03,36045,0,0,0,0
2020-03-03,36065,0,0,0,0
2020-03-03,36063,0,0,0,0
2020-03-03,36121,0,0,0,0
2020-03-03,36119,0,1,1,2
2020-03-03,36117,0,0,0,0
2020-03-03,36115,0,0,0,0
2020-03-03,36113,0,0,0,0
2020-03-03,36111,0,0,0,0
2020-03-03,36109,0,0,0,0
2020-03-03,36107,0,0,0,0
2020-03-03,36105,0,0,0,0
2020-03-03,36103,0,0,0,0
2020-03-03,36101,0,0,0,0
2020-03-03,36089,0,0,0,0
2020-03-03,36099,0,0,0,0
2020-03-03,36097,0,0,0,0
2020-03-03,36123,0,0,0,0
2020-03-03,36093,0,0,0,0
2020-03-03,36095,0,0,0,0
2020-03-03,36069,0,0,0,0
2020-03-03,36071,0,0,0,0
2020-03-03,36073,0,0,0,0
2020-03-03,36075,0,0,0,0
2020-03-03,36077,0,0,0,0
2020-03-03,36067,0,0,0,0
2020-03-03,36079,0,0,0,0
2020-03-03,36081,0,0,2,2
2020-03-03,36083,0,0,0,0
2020-03-03,36085,0,0,0,0
2020-03-03,36087,0,0,0,0
2020-03-03,36091,0,0,0,0
2020-03-04,36033,0,0,0,0
2020-03-04,36035,0,0,0,0
2020-03-04,36037,0,0,0,0
2020-03-04,36039,0,0,0,0
2020-03-04,36041,0,0,0,0
2020-03-04,36049,0,0,0,0
2020-03-04,36047,1,1,4,6
2020-03-04,36057,0,0,0,0
2020-03-04,36051,0,0,0,0
2020-03-04,36053,0,0,0,0
2020-03-04,36055,0,0,0,0
2020-03-04,36031,0,0,0,0
2020-03-04,36043,0,0,0,0
2020-03-04,36029,0,0,6,6
2020-03-04,36015,0,0,0,0
2020-03-04,36025,0,0,0,0
2020-03-04,36023,0,0,0,0
2020-03-04,36021,0,0,0,0
2020-03-04,36019,0,0,0,0
2020-03-04,36017,0,0,0,0
2020-03-04,36013,0,0,0,0
2020-03-04,36011,0,0,0,0
2020-03-04,36009,0,0,0,0
2020-03-04,36007,0,0,0,0
2020-03-04,36005,0,0,0,1
2020-03-04,36003,0,0,0,0
2020-03-04,36001,0,0,0,0
2020-03-04,36059,0,0,0,0
2020-03-04,36027,0,0,0,0
2020-03-04,36061,1,1,4,7
2020-03-04,36045,0,0,0,0
2020-03-04,36065,0,0,2,2
2020-03-04,36121,0,0,0,0
2020-03-04,36119,0,1,0,2
2020-03-04,36117,0,0,0,0
2020-03-04,36115,0,0,0,0
2020-03-04,36113,0,0,0,0
2020-03-04,36111,0,0,0,0
2020-03-04,36109,0,0,0,0
2020-03-04,36107,0,0,0,0
2020-03-04,36105,0,0,0,0
2020-03-04,36103,0,0,2,2
2020-03-04,36101,0,0,0,0
2020-03-04,36089,0,0,0,0
2020-03-04,36099,0,0,0,0
2020-03-04,36097,0,0,0,0
2020-03-04,36063,0,0,0,0
2020-03-04,36093,0,0,0,0
2020-03-04,36067,0,0,0,0
2020-03-04,36069,0,0,0,0
2020-03-04,36071,0,0,0,0
2020-03-04,36073,0,0,0,0
2020-03-04,36095,0,0,0,0
2020-03-04,36077,0,0,0,0
2020-03-04,36075,0,0,0,0
2020-03-04,36079,0,0,0,0
2020-03-04,36081,0,0,0,2
2020-03-04,36083,0,0,2,2
2020-03-04,36085,0,0,0,0
2020-03-04,36087,0,0,0,0
2020-03-04,36091,0,0,0,0
2020-03-04,36123,0,0,0,0
2020-03-05,36035,0,0,0,0
2020-03-05,36037,0,0,0,0
2020-03-05,36039,0,0,0,0
2020-03-05,36041,0,0,0,0
2020-03-05,36043,0,0,0,0
2020-03-05,36057,0,0,0,0
2020-03-05,36047,0,1,7,13
2020-03-05,36049,0,0,0,0
2020-03-05,36051,0,0,0,0
2020-03-05,36053,0,0,0,0
2020-03-05,36055,0,0,0,0
2020-03-05,36033,0,0,0,0
2020-03-05,36045,0,0,0,0
2020-03-05,36031,0,0,0,0
2020-03-05,36017,0,0,0,0
2020-03-05,36027,0,0,0,0
2020-03-05,36025,0,0,0,0
2020-03-05,36023,0,0,0,0
2020-03-05,36021,0,0,0,0
2020-03-05,36019,0,0,0,0
2020-03-05,36015,0,0,0,0
2020-03-05,36013,0,0,0,0
2020-03-05,36011,0,0,0,0
2020-03-05,36009,0,0,0,0
2020-03-05,36007,0,0,0,0
2020-03-05,36005,0,0,5,6
2020-03-05,36003,0,0,0,0
2020-03-05,36059,1,1,1,1
2020-03-05,36029,0,0,6,12
2020-03-05,36001,0,0,3,3
2020-03-05,36061,1,2,18,25
2020-03-05,36065,0,0,0,2
2020-03-05,36063,0,0,0,0
2020-03-05,36123,0,0,0,0
2020-03-05,36121,0,0,0,0
2020-03-05,36119,19,20,42,44
2020-03-05,36117,0,0,0,0
2020-03-05,36115,0,0,0,0
2020-03-05,36113,0,0,0,0
2020-03-05,36111,0,0,1,1
2020-03-05,36107,0,0,0,0
2020-03-05,36105,0,0,0,0
2020-03-05,36103,0,0,2,4
2020-03-05,36101,0,0,0,0
2020-03-05,36089,0,0,0,0
2020-03-05,36099,0,0,0,0
2020-03-05,36109,0,0,0,0
2020-03-05,36095,0,0,0,0
2020-03-05,36097,0,0,0,0
2020-03-05,36069,0,0,0,0
2020-03-05,36071,0,0,0,0
2020-03-05,36073,0,0,0,0
2020-03-05,36075,0,0,0,0
2020-03-05,36077,0,0,0,0
2020-03-05,36079,0,0,1,1
2020-03-05,36067,0,0,0,0
2020-03-05,36083,0,0,0,2
2020-03-05,36085,0,0,0,0
2020-03-05,36087,0,0,0,0
2020-03-05,36091,0,0,0,0
2020-03-05,36093,0,0,0,0
2020-03-05,36081,1,1,6,8
2020-03-06,36031,0,0,0,0
