DATE,AGE_RANGE,AR_CASECOUNT,AR_TOTALPERCENT,NEW_ARCASES,AR_NEWPERCENT,AR_TOTALDEATHS,AR_NEWDEATHS
03-19-20,0-10 years,2,0.01,2,1.2987012987013E-2,,
03-19-20,11-20 years,9,0.06,9,5.8441558441558399E-2,,
03-19-20,21-30 years,43,0.28000000000000003,43,0.27922077922077898,,
03-19-20,31-40 years,32,0.21,32,0.207792207792208,,
03-19-20,41-50 years,24,0.16,24,0.15584415584415601,,
03-19-20,51-60 years,18,0.12,18,0.11688311688311701,,
03-19-20,61-70 years,10,0.06,10,6.4935064935064901E-2,,
03-19-20,71-80 years,8,0.05,8,5.1948051948052E-2,,
03-19-20,81+ years,8,0.05,8,5.1948051948052E-2,,
03-20-20,0-10 years,3,0.01,1,1.35135135135135E-2,,
03-20-20,11-20 years,12,0.05,3,4.0540540540540501E-2,,
03-20-20,21-30 years,72,0.32,29,0.391891891891892,,
03-20-20,31-40 years,47,0.21,15,0.20270270270270299,,
03-20-20,41-50 years,35,0.15,11,0.14864864864864899,,
03-20-20,51-60 years,26,0.11,8,0.108108108108108,,
03-20-20,61-70 years,16,7.0000000000000007E-2,6,8.1081081081081099E-2,,
03-20-20,71-80 years,13,0.06,5,6.7567567567567599E-2,,
03-20-20,81+ years,4,0.02,-4,-5.4054054054054099E-2,,
03-21-20,0-10 years,4,0.01,1,6.9930069930069904E-3,,
03-21-20,11-20 years,20,0.05,8,5.5944055944055902E-2,,
03-21-20,21-30 years,122,0.33,50,0.34965034965035002,,
03-21-20,31-40 years,59,0.16,12,8.3916083916083906E-2,,
03-21-20,41-50 years,60,0.16,25,0.17482517482517501,,
03-21-20,51-60 years,46,0.12,20,0.13986013986014001,,
03-21-20,61-70 years,31,0.08,15,0.10489510489510501,,
03-21-20,71-80 years,20,0.05,7,4.8951048951049E-2,,
03-21-20,81+ years,5,0.01,1,6.9930069930069904E-3,,
03-21-20,Pending,4,0.01,4,2.7972027972028E-2,,
03-22-20,0-10 years,6,0.01,2,1.49253731343284E-2,,
03-22-20,11-20 years,30,0.06,10,7.4626865671641798E-2,,
03-22-20,21-30 years,162,0.32,40,0.29850746268656703,,
03-22-20,31-40 years,88,0.17,29,0.21641791044776101,,
03-22-20,41-50 years,74,0.15,14,0.104477611940299,,
03-22-20,51-60 years,67,0.13,21,0.15671641791044799,,
03-22-20,61-70 years,44,0.09,13,9.7014925373134303E-2,,
03-22-20,71-80 years,25,0.05,5,3.7313432835820899E-2,,
03-22-20,81+ years,8,0.02,3,2.2388059701492501E-2,,
03-22-20,Pending,1,0,-3,-2.2388059701492501E-2,,
03-23-20,0-10 years,9,0,3,2.7272727272727299E-2,,
03-23-20,11-20 years,37,6.1056105610561101E-2,7,6.3636363636363602E-2,,
03-23-20,21-30 years,184,0.30363036303630397,22,0.2,,
03-23-20,31-40 years,116,0.19141914191419099,28,0.25454545454545502,,
03-23-20,41-50 years,82,0.13531353135313501,8,7.2727272727272696E-2,,
03-23-20,51-60 years,83,0.13696369636963701,16,0.145454545454545,,
03-23-20,61-70 years,55,9.0759075907590803E-2,11,0.1,,
03-23-20,71-80 years,32,5.2805280528052799E-2,7,6.3636363636363602E-2,,
03-23-20,81+ years,11,1.8151815181518201E-2,3,2.7272727272727299E-2,,
03-23-20,Pending,6,9.9009900990098994E-3,5,4.5454545454545497E-2,,
03-24-20,0-10 years,9,1.4851485148514899E-2,0,0,,
03-24-20,11-20 years,41,0.01,4,7.69230769230769E-2,,
03-24-20,21-30 years,193,0.02,9,0.17307692307692299,,
03-24-20,31-40 years,126,0.02,10,0.19230769230769201,,
03-24-20,41-50 years,89,0.01,7,0.134615384615385,,
03-24-20,51-60 years,91,0.01,8,0.15384615384615399,,
03-24-20,61-70 years,65,0.01,10,0.19230769230769201,,
03-24-20,71-80 years,34,0,2,3.8461538461538498E-2,,
03-24-20,81+ years,12,0,1,1.9230769230769201E-2,,
03-24-20,Pending,7,0,1,1.9230769230769201E-2,,
03-25-20,0-10 years,12,0.02,3,2.5641025641025599E-2,,
03-25-20,11-20 years,46,0.06,5,4.2735042735042701E-2,,
03-25-20,21-30 years,224,0.28999999999999998,31,0.26495726495726502,,
03-25-20,31-40 years,144,0.18,18,0.15384615384615399,,
03-25-20,41-50 years,109,0.14000000000000001,20,0.170940170940171,,
03-25-20,51-60 years,105,0.13,14,0.11965811965812,,
03-25-20,61-70 years,80,0.1,15,0.128205128205128,,
03-25-20,71-80 years,43,0.05,9,7.69230769230769E-2,,
03-25-20,81+ years,14,0.02,2,1.7094017094017099E-2,,
03-25-20,Pending,7,0.01,0,0,,
03-26-20,0-10 years,13,0.01,1,5.78034682080925E-3,,
03-26-20,11-20 years,56,0.06,10,5.7803468208092498E-2,,
03-26-20,21-30 years,260,0.27,36,0.20809248554913301,,
03-26-20,31-40 years,161,0.17,17,9.8265895953757204E-2,,
03-26-20,41-50 years,151,0.16,42,0.24277456647398801,,
03-26-20,51-60 years,141,0.15,36,0.20809248554913301,,
03-26-20,61-70 years,96,0.1,16,9.2485549132948E-2,,
03-26-20,71-80 years,56,0.06,13,7.5144508670520194E-2,,
03-26-20,81+ years,16,0.02,2,1.15606936416185E-2,,
03-26-20,Pending,7,0.01,0,0,,
03-27-20,0-10 years,15,0.01,2,8.1300813008130107E-3,,
03-27-20,11-20 years,63,0.05,7,2.8455284552845499E-2,,
03-27-20,21-30 years,314,0.26,54,0.219512195121951,,
03-27-20,31-40 years,194,0.16,33,0.134146341463415,,
03-27-20,41-50 years,196,0.16,45,0.18292682926829301,,
03-27-20,51-60 years,191,0.16,50,0.203252032520325,,
03-27-20,61-70 years,126,0.1,30,0.12195121951219499,,
03-27-20,71-80 years,75,0.06,19,7.7235772357723595E-2,,
03-27-20,81+ years,20,0.02,4,1.6260162601626001E-2,,
03-27-20,Pending,9,0.01,2,8.1300813008130107E-3,,
03-28-20,0-10 years,16,0.01,1,5.8823529411764696E-3,,
03-28-20,11-20 years,71,0.05,8,4.7058823529411799E-2,,
03-28-20,21-30 years,346,0.25,32,0.188235294117647,,
03-28-20,31-40 years,221,0.16,27,0.158823529411765,,
03-28-20,41-50 years,224,0.16,28,0.16470588235294101,,
03-28-20,51-60 years,218,0.16,27,0.158823529411765,,
03-28-20,61-70 years,153,0.11,27,0.158823529411765,,
03-28-20,71-80 years,87,0.06,12,7.0588235294117604E-2,,
03-28-20,81+ years,28,0.02,8,4.7058823529411799E-2,,
03-28-20,Pending,9,0.01,0,0,,
03-29-20,0-10 years,17,0.01,1,6.0975609756097598E-3,,
03-29-20,11-20 years,80,0.05,9,5.4878048780487798E-2,,
