date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,us_admin2_code,us_county_fips,cnt_confirmed,cnt_deaths,cnt_recovered
2022-08-02,US,60,60,AS,00060,00060,7766,33,0
2022-08-02,US,66,66,GU,00066,00066,55624,381,0
2022-08-02,US,69,69,MP,00069,00069,12732,38,0
2022-08-02,US,78,78,VI,00078,00078,21869,121,0
2022-08-02,US,01,01,AL,01000,,0,0,0
2022-08-02,US,01,01,AL,01001,01001,17468,220,0
2022-08-02,US,01,01,AL,01003,01003,61967,687,0
2022-08-02,US,01,01,AL,01005,01005,6308,100,0
2022-08-02,US,01,01,AL,01007,01007,6947,105,0
2022-08-02,US,01,01,AL,01009,01009,15998,247,0
2022-08-02,US,01,01,AL,01011,01011,2623,54,0
2022-08-02,US,01,01,AL,01013,01013,5547,129,0
2022-08-02,US,01,01,AL,01015,01015,34553,638,0
2022-08-02,US,01,01,AL,01017,01017,9388,165,0
2022-08-02,US,01,01,AL,01019,01019,5528,87,0
2022-08-02,US,01,01,AL,01021,01021,11774,212,0
2022-08-02,US,01,01,AL,01023,01023,2144,37,0
2022-08-02,US,01,01,AL,01025,01025,7685,102,0
2022-08-02,US,01,01,AL,01027,01027,4425,83,0
2022-08-02,US,01,01,AL,01029,01029,3727,69,0
2022-08-02,US,01,01,AL,01031,01031,14928,236,0
2022-08-02,US,01,01,AL,01033,01033,17945,264,0
2022-08-02,US,01,01,AL,01035,01035,3159,71,0
2022-08-02,US,01,01,AL,01037,01037,3232,59,0
2022-08-02,US,01,01,AL,01039,01039,10212,237,0
2022-08-02,US,01,01,AL,01041,01041,4128,102,0
2022-08-02,US,01,01,AL,01043,01043,26856,371,0
2022-08-02,US,01,01,AL,01045,01045,14317,234,0
2022-08-02,US,01,01,AL,01047,01047,9511,247,0
2022-08-02,US,01,01,AL,01049,01049,19884,333,0
2022-08-02,US,01,01,AL,01051,01051,25963,352,0
2022-08-02,US,01,01,AL,01053,01053,10940,174,0
2022-08-02,US,01,01,AL,01055,01055,30290,655,0
2022-08-02,US,01,01,AL,01057,01057,5202,97,0
2022-08-02,US,01,01,AL,01059,01059,10344,140,0
2022-08-02,US,01,01,AL,01061,01061,7001,165,0
2022-08-02,US,01,01,AL,01063,01063,2045,51,0
2022-08-02,US,01,01,AL,01065,01065,5168,108,0
2022-08-02,US,01,01,AL,01067,01067,5061,78,0
2022-08-02,US,01,01,AL,01069,01069,28289,512,0
2022-08-02,US,01,01,AL,01071,01071,15981,244,0
2022-08-02,US,01,01,AL,01073,01073,205650,2396,0
2022-08-02,US,01,01,AL,01075,01075,4057,65,0
2022-08-02,US,01,01,AL,01077,01077,26166,402,0
2022-08-02,US,01,01,AL,01079,01079,8208,161,0
2022-08-02,US,01,01,AL,01081,01081,41460,344,0
2022-08-02,US,01,01,AL,01083,01083,27430,299,0
2022-08-02,US,01,01,AL,01085,01085,2890,79,0
2022-08-02,US,01,01,AL,01087,01087,4406,86,0
2022-08-02,US,01,01,AL,01089,01089,99992,987,0
2022-08-02,US,01,01,AL,01091,01091,5599,108,0
2022-08-02,US,01,01,AL,01093,01093,8790,153,0
2022-08-02,US,01,01,AL,01095,01095,29016,396,0
2022-08-02,US,01,01,AL,01097,01097,122196,1682,0
2022-08-02,US,01,01,AL,01099,01099,5811,81,0
2022-08-02,US,01,01,AL,01101,01101,62703,965,0
2022-08-02,US,01,01,AL,01103,01103,39523,521,0
2022-08-02,US,01,01,AL,01105,01105,2309,47,0
2022-08-02,US,01,01,AL,01107,01107,5572,105,0
2022-08-02,US,01,01,AL,01109,01109,8108,136,0
2022-08-02,US,01,01,AL,01111,01111,5455,75,0
2022-08-02,US,01,01,AL,01113,01113,11244,96,0
2022-08-02,US,01,01,AL,01115,01115,27882,421,0
