date_stamp,us_county_fips,tn_covid_geo,cnt_total,cnt_total_new,cnt_confirmed,cnt_confirmed_new,cnt_probable,cnt_probable_new,cnt_active,cnt_active_new,cnt_hospitalized,cnt_hospitalized_new,cnt_recovered,cnt_recovered_new,cnt_death,cnt_death_new,cnt_tested_pos,cnt_tested_neg,cnt_tested,cnt_tested_new
2020-03-05,47157,47157,,,,,,,,,,,,,,,,,,
2020-03-05,47187,47187,1,,,,,,,,,,,,,,,,,
2020-03-06,47037,47037,,,,,,,,,,,,,,,,,,
2020-03-06,47187,47187,1,0,,,,,,,,,,,,,,,,
2020-03-07,47187,47187,1,0,,,,,,,,,,,,,,,,
2020-03-08,47037,47037,1,,,,,,,,,,,,,,,,,
2020-03-08,47157,47157,1,,,,,,,,,,,,,,,,,
2020-03-08,47187,47187,1,0,,,,,,,,,,,,,,,,
2020-03-09,47187,47187,1,0,,,,,,,,,,,,,,,,
2020-03-09,47163,47163,,,,,,,,,,,,,,,,,,
2020-03-09,47157,47157,1,0,,,,,,,,,,,,,,,,
2020-03-09,,47PEN,1,,,,,,,,,,,,,,,,,
2020-03-09,47093,47093,,,,,,,,,,,,,,,,,,
2020-03-09,47065,47065,,,,,,,,,,,,,,,,,,
2020-03-09,47037,47037,1,0,,,,,,,,,,,,,,,,
2020-03-10,47037,47037,2,1,,,,,,,,,,,,,,,,
2020-03-10,47093,47093,,,,,,,,,,,,,,,,,,
2020-03-10,47157,47157,1,0,,,,,,,,,,,,,,,,
2020-03-10,47163,47163,1,,,,,,,,,,,,,,,,,
2020-03-10,47187,47187,3,2,,,,,,,,,,,,,,,,
2020-03-11,47187,47187,5,2,,,,,,,,,,,,,,,,
2020-03-11,47163,47163,1,0,,,,,,,,,,,,,,,,
2020-03-11,47157,47157,1,0,,,,,,,,,,,,,,,,
2020-03-11,47149,47149,,,,,,,,,,,,,,,,,,
2020-03-11,47165,47165,,,,,,,,,,,,,,,,,,
2020-03-11,47089,47089,,,,,,,,,,,,,,,,,,
2020-03-11,47037,47037,2,0,,,,,,,,,,,,,,,,
2020-03-11,47013,47013,,,,,,,,,,,,,,,,,,
2020-03-11,47093,47093,,,,,,,,,,,,,,,,,,
2020-03-12,47187,47187,8,3,,,,,,,,,,,,,,,,
2020-03-12,47157,47157,2,1,,,,,,,,,,,,,,,,
2020-03-12,47163,47163,1,0,,,,,,,,,,,,,,,,
2020-03-12,47065,47065,,,,,,,,,,,,,,,,,,
2020-03-12,47037,47037,6,4,,,,,,,,,,,,,,,,
2020-03-12,47093,47093,1,,,,,,,,,,,,,,,,,
2020-03-13,47187,47187,9,1,,,,,,,,,,,,,,,,
2020-03-13,47179,47179,,,,,,,,,,,,,,,,,,
2020-03-13,47167,47167,,,,,,,,,,,,,,,,,,
2020-03-13,47165,47165,,,,,,,,,,,,,,,,,,
2020-03-13,47163,47163,1,0,,,,,,,,,,,,,,,,
2020-03-13,47157,47157,2,0,,,,,,,,,,,,,,,,
2020-03-13,47155,47155,,,,,,,,,,,,,,,,,,
2020-03-13,47093,47093,1,0,,,,,,,,,,,,,,,,
2020-03-13,47105,47105,,,,,,,,,,,,,,,,,,
2020-03-13,47089,47089,1,,,,,,,,,,,,,,,,,
2020-03-13,47065,47065,1,,,,,,,,,,,,,,,,,
2020-03-13,47037,47037,10,4,,,,,,,,,,,,,,,,
2020-03-13,47011,47011,,,,,,,,,,,,,,,,,,
2020-03-13,47001,47001,,,,,,,,,,,,,,,,,,
2020-03-13,47149,47149,1,,,,,,,,,,,,,,,,,
2020-03-14,47149,47149,1,0,,,,,,,,,,,,,,,,
2020-03-14,47187,47187,10,1,,,,,,,,,,,,,,,,
2020-03-14,47165,47165,,,,,,,,,,,,,,,,,,
2020-03-14,47163,47163,1,0,,,,,,,,,,,,,,,,
2020-03-14,47157,47157,2,0,,,,,,,,,,,,,,,,
2020-03-14,47147,47147,,,,,,,,,,,,,,,,,,
2020-03-14,47107,47107,,,,,,,,,,,,,,,,,,
2020-03-14,47089,47089,1,0,,,,,,,,,,,,,,,,
2020-03-14,47065,47065,1,0,,,,,,,,,,,,,,,,
2020-03-14,47041,47041,,,,,,,,,,,,,,,,,,
2020-03-14,47037,47037,14,4,,,,,,,,,,,,,,,,
