date_stamp,race,cnt_confirmed,pct_confirmed,cnt_death,pct_death
2020-04-08,2,1140,26.1348,,
2020-04-08,1,320,7.3361,,
2020-04-08,3,106,2.4301,,
2020-04-08,0,32,0.7336,,
2020-04-08,9,2764,63.3654,,
2020-04-09,3,186,3.9207,,
2020-04-09,9,1716,19.6159,,
2020-04-09,0,51,0.7968,,
2020-04-09,1,668,12.7774,,
2020-04-09,2,2013,43.4398,,
2020-04-10,3,224,4.6072,,
2020-04-10,9,1469,30.2139,,
2020-04-10,0,61,1.2546,,
2020-04-10,1,803,16.5158,,
2020-04-10,2,2305,47.4085,,
2020-04-11,0,61,1.1928,,
2020-04-11,3,224,4.3801,,
2020-04-11,1,801,15.6629,,
2020-04-11,2,2305,45.0724,,
2020-04-11,9,1723,33.6918,,
2020-04-12,3,266,4.825,,
2020-04-12,9,1748,31.7069,,
2020-04-12,2,2504,45.4199,,
2020-04-12,1,922,16.7241,,
2020-04-12,0,73,1.3241,,
2020-04-13,0,73,1.3012,,
2020-04-13,3,266,4.7415,,
2020-04-13,1,919,16.3815,,
2020-04-13,2,2504,44.6346,,
2020-04-13,9,1848,32.9412,,
2020-04-14,0,83,1.4254,,
2020-04-14,3,358,6.148,,
2020-04-14,1,1143,19.6291,,
2020-04-14,2,2861,49.1327,,
2020-04-14,9,1378,23.6648,,
2020-04-15,0,88,1.4476,,
2020-04-15,3,350,5.7575,,
2020-04-15,1,1218,20.0362,,
2020-04-15,2,2972,48.8896,,
2020-04-15,9,1451,23.8691,,
2020-04-16,3,378,11.9318,,
2020-04-16,9,1388,43.8131,,
2020-04-16,2,3094,50.8965,,
2020-04-16,1,1298,40.9722,,
2020-04-16,0,104,3.2828,,
2020-04-17,,397,6.0404,,
2020-04-17,2,3195,48.4899,,
2020-04-17,1,1383,20.9895,,
2020-04-17,0,114,1.7302,,
2020-04-17,9,1500,22.75,,
2020-04-18,0,123,1.819,3,2.0
2020-04-18,1,1437,21.2511,46,32.0
2020-04-18,2,3282,48.5359,87,60.0
2020-04-18,,404,5.9746,2,1.0
2020-04-18,9,1516,22.4194,7,5.0
2020-04-19,9,1704,24.1018,8,5.0
2020-04-19,0,130,1.8388,3,2.0
2020-04-19,1,1470,20.7921,47,32.0
2020-04-19,2,3347,47.3409,88,59.0
2020-04-19,,419,5.9264,2,1.0
2020-04-20,0,138,1.9066,4,3.0
2020-04-20,,432,5.9685,2,1.0
2020-04-20,9,1750,24.1779,8,5.0
2020-04-20,1,1512,20.8897,48,32.0
2020-04-20,2,3406,47.0572,90,59.0
2020-04-21,0,151,2.0422,4,3.0
2020-04-21,1,1582,21.3957,50,32.0
2020-04-21,2,3535,47.809,92,59.0
2020-04-21,,456,6.1672,2,1.0
2020-04-21,9,1670,22.5859,9,6.0
