date_stamp,cnt_total,cnt_total_new,cnt_confirmed,cnt_confirmed_new,cnt_probable,cnt_probable_new,cnt_active,cnt_active_new,cnt_hospitalized,cnt_hospitalized_new,cnt_recovered,cnt_recovered_new,cnt_death,cnt_death_new,cnt_tested_pos,cnt_tested_neg,cnt_tested,cnt_tested_new
2020-03-04,0,,,,,,,,,,,,,,,,,
2020-03-05,1,1,,,,,,,,,,,,,,,,
2020-03-06,1,0,,,,,,,,,,,,,,,,
2020-03-07,1,0,,,,,,,,,,,,,,,,
2020-03-08,3,2,,,,,,,,,,,,,,,,
2020-03-09,4,1,,,,,,,,,,,,,,,,
2020-03-10,7,3,,,,,,,,,,,,,,,,
2020-03-11,9,2,,,,,,,,,,,,,,,,
2020-03-12,18,9,,,,,,,,,,,,,,,,
2020-03-13,26,8,,,,,,,,,,,,,,,,
2020-03-14,32,6,,,,,,,,,,,,,,,,
2020-03-15,39,7,,,,,,,,,,,,,,,,
2020-03-16,52,13,,,,,,,,,,,,,,,,
2020-03-17,73,21,,,,,,,,,,,,,,,,
2020-03-18,98,25,,,,,,,,,,,,,,,,
2020-03-19,154,56,,,,,,,,,,,,,,,,
2020-03-20,228,74,,,,,,,,,,,0,,,,,
2020-03-21,371,143,,,,,,,,,,,1,1,,,,
2020-03-22,505,134,,,,,,,,,,,2,1,,,,
2020-03-23,615,110,,,,,,,,,,,2,0,,,,
2020-03-24,667,52,,,,,,,,,,,2,0,667,10477,11144,
2020-03-25,784,117,,,,,781,,53,,,,3,1,784,11012,11796,652
2020-03-26,957,173,,,,,954,173,76,23,,,3,0,957,13952,14909,3113
2020-03-27,1203,246,,,,,1197,243,103,27,,,6,3,1203,14888,16091,1182
2020-03-28,1373,170,,,,,1367,170,118,15,,,6,0,1373,16965,18338,2247
2020-03-29,1537,164,,,,,1530,163,133,15,,,7,1,1537,19037,20574,2236
2020-03-30,1834,297,,,,,1712,182,148,15,109,,13,6,1834,21470,23304,2730
2020-03-31,2239,405,,,,,2095,383,175,27,121,12,23,10,2239,25121,27360,4056
2020-04-01,2683,444,,,,,2522,427,200,25,137,16,24,1,2683,29769,32452,5092
